Prendre en compte	game	platforms	editor	developer	gender	Type	Multijoueur	Date
1	Spyro Reignited Trilogy †	PS4, Xbox One	Activision Blizzard	Toys for Bob	Autre	plates-formes	no	13/11/2018
1	State of Mind	PS4, Xbox One, PC, Nintendo Switch	Daedalic Entertainment	Daedalic Entertainment	M	aventure / narratif / science-fiction / futur	yes	15/08/2018
1	Street Fighter V: Arcade Edition †	PS4, PC	Capcom	Capcom	Multi	combat / arcade / action	yes	16/01/2018
1	Super Smash Bros. Ultimate	Nintendo Switch	Nintendo	Sora Ltd., Bandai Namco	Multi	combat / plates-formes	yes	07/12/2018
1	Super Mario Party	Nintendo Switch	Nintendo	Nd Cube	Multi	fête / coopératif	yes	05/10/2018
1	Super Meat Boy Forever	Nintendo Switch, Xbox One, PC, PS4	Team Meat	Team Meat	Multi	Action / plates-formes / violent / Hack and Slash / guerre	no	2019
1	The Surge 2 †	Xbox One, PS4, PC	Focus Home Interactive	Deck13 Interactive	Multi	action / rpg / futuriste / science-fiction	unknown	2019
1	Team Sonic Racing †	Xbox One, PS4, Nintendo Switch, PC	Sega	Sumo Digital	Multi	course / kart / coopératif / action	yes	21/05/2019
1	Tetris Effect †	PS4, PSVR	Enhance Games	Monstars, Resonair	Autre	puzzle	no	09/11/2018
1	Total War: Three Kingdoms	PC	Sega	Creative Assembly	Multi	stratégie / tactique / tour par tour / histoire / guerre / action / fantasy	yes	23/05/2019
1	Trials Rising	PS4, Xbox One, Switch, PC	Ubisoft	RedLynx	Multi	sport / course / moto	yes	26/02/2019
1	Trover Saves the Universe	PS4 VR	Squanch Games	Squanch Games	M	action / aventure / plate-formes	no	2019
1	Twin Mirror	PC, PS4, Xbox One	Bandai Namco Entertainment	Dontnod Entertainment	M	aventure / narratif / violence / guerre	no	2019
1	Unravel 2	PS4, Xbox One, and PC	Electronic Arts	ColdWood Interactive	Autre	plates-formes / aventure / co-op / enigme	yes	09/06/2018
1	Vacation Simulator †	PS4 VR	Owlchemy Labs	Owlchemy Labs	Multi	action / aventure / simulation	no	09/04/2019
1	Valkyria Chronicles 4 †	Nintendo Switch, PS4, Xbox One, PC	Sega	Sega CS3	Multi	action / stratégie / tour par tour / aventure / rpg	no	21/03/2018 (au Japon)
1	V-Rally 4 †	Nintendo Switch, PS4, Xbox One, PC	Bigben Interactive	Kylotonn	Autre	sport / course / simulation	yes	06/09/2018
1	Warhammer 2: Vermintide	PS4, Xbox One, PC	Fatshark	Fatshark	Multi	action / première personne / gore / fantasy / RPG / Survie / FPS /Aventure	yes	08/03/2018
1	Wolfenstein: Cyber Pilot †	VR	Bethesda Softworks	Bethesda Softworks	F	tir à la première personne / action / aventure	yes	Courant 2019
