to_keep	game	platforms	editor	developer	gender	Source explication	Source nom	Source lien	Autre source	Autre source	type	Multijoueur	Date de sortie	Annoncé en
 														
1	Adventure Time: Pirates of the Enchiridion	Nintendo Switch, PS4, Xbox One, PC	Outright Games	Climax Studios	Multi	"Explore the Land of Ooo freely, discover secrets and collect loot with playable fan-favourite characters, Finn, Jake, BMO and Marceline." 	Outright Games	https://www.outrightgames.com/adventure-time-pirates-of-the-enchiridion			aventure / cartoon		17/07/2018	
1	Afterparty	Xbox One, PC, PS4	Night School Studio	Night School Studio	Multi	"In AFTERPARTY, you are Milo and Lola, recently deceased best buds who suddenly find themselves staring down an eternity in Hell. But there’s a loophole: outdrink Satan and he’ll grant you re-entry to Earth." 	Night School Studio	http://nightschoolstudio.com/afterparty			aventure		2019	
0 (2017)	Anthem †	PC, Xbox One, PS4	Electronic Arts	BioWare	Multi	"Anthem’s characters are voiced, and you’ll get the choice of a male or female character at the beginning of the game."	PCGamesN	https://www.pcgamesn.com/anthem/anthem-voice-actor	https://www.youtube.com/watch?v=PDQN2ww79Ak	https://www.youtube.com/watch?v=73sBiTAPwSA	Action / rpg	yes	22/02/2019	
0 (2015)	Ashen (personnalisation)	PC, Xbox One	A44	A44	Multi	Personnalisation très poussée du personnage	ASHEN - Character Creation / Cutstomization - Male and Female (Youtube)	https://www.youtube.com/watch?v=9jhsSBEhe18	https://www.youtube.com/watch?v=9w-UiWs8BjM	https://twitter.com/A44games/status/1046528247335346176	action / rpg / Aventure / troisième personne / monde ouvert	yes	07/12/2018	2015
0 (2017)	A Plague Tale: Innocence	Xbox One, PS4, PC	Focus Home Interactive	Asobo Studio	F (personnage principal)	"Coming to PC, PlayStation 4, and Xbox One in 2019, “A Plague Tale: Innocence” is an action-adventure game set in 14th century France, a dark time for protagonists Amicia and her little brother Hugo. They lost their parents to the ruthless Inquisition, forcing them to survive on their own. To top it off, five-year-old Hugo is suffering from a strange illness, and ravenous rodents are spreading throughout the country, eager to devour anything that’s in their way.  As the teenage Amicia, you can’t fight or destroy them. You either avoid the rats altogether or redirect their hunger elsewhere. "	Variety.com	https://variety.com/2018/gaming/features/a-plague-tale-innocence-interview-1202850698/	https://www.jeuxactu.com/a-plague-tale-innocence-une-nouvelle-video-remplie-de-rats-117103.htm	https://www.jeuxactu.com/a-plague-tale-innocence-voici-le-story-trailer-avec-les-voix-anglaises-117379.htm	Action / aventure / Infiltration	no	14/05/2019	
1	Assassin's Creed Odyssey †	PC, Xbox One, PS4	Ubisoft	Ubisoft	Multi	"In Assassin’s Creed Odyssey, you can choose to play either Alexios (a man) or Kassandra (a woman), two siblings separated from their Spartan parents during childhood."	Polygon.com	https://www.polygon.com/2018/10/9/17956140/assassins-creed-odyssey-kassandra-or-alexios			Action / aventure / Infiltration / RPG / Historique		05/10/2018	
1	Assetto Corsa Competizione †	PC	505 Games	Kunos Simulazioni	gender-ambiguous	Visage du personnage non visible	Démo Youtube	https://www.youtube.com/watch?v=1PumKE95Zu0			Racing simulation	yes	12/09/2018	
1	Astro Bot†	PS4 VR	SIE Japan Studio	Sony Interactive Entertainment	N/A	"Dans l'espace, des petits robots voguent sur un vaisseau coiffé d'un casque PSVR. Un alien un peu belliqueux et tout ce qu'il y a de plus gluant attaque la flotte, dispersant tous ses occupants à travers l'espace, détruisant au passage 5 parties du vaisseau."	Jeuxvideos.com	http://www.jeuxvideo.com/test/933144/astro-bot-rescue-mission-une-pepite-de-la-plate-forme-en-realite-virtuelle.htm			Action / Plateforme	no	02/10/2018	
1	The Awesome Adventures of Captain Spirit	PS4, Xbox One, PC	Square Enix	DONTNOD Entertainment	M	"Vous avez déjà rêvé d'être un super-héros ? Voici Chris, un garçon de 9 ans plein d'imagination qui part dans des aventures fantastiques sous les traits de son alter-ego, l'extraordinaire Captain Spirit !"	Steam	https://store.steampowered.com/app/845070/The_Awesome_Adventures_of_Captain_Spirit/			aventure	no	25/06/2018	
