to_keep	game	platforms	editor	developer	gender	type	year
1	Vampyr	PS4, Xbox One, PC	Focus Home Interactive	Dontnod Entertainment	m	action / narratif / rpg / histoire	2017
1	Vindicta	PC	Game Cooks	Game Cooks	other	fps / action	2017
1	Wargroove	PC, PS4, Xbox One, Switch	Chucklefish	Chucklefish	multi	tactique / tour par tour / stratégie / stratégie / fantasy	2017
1	Wolfenstein II: The New Colossus	PS4, Xbox One, PC	Bethesda Softworks	MachineGames	m	Action / fps / violence / gore / tir / 1re personne / histoire / science-fiction / aventure / histoire / monde ouvert	2017
1	WRC 7	PC, PS4, Xbox One	Bigben Interactive	Kylotonn Games	other	course / sport / automobile / simulation	2017
1	Xenoblade Chronicle 2	Switch	Nintendo	Monolith Soft	m	RPG	2017
1	Yakuza 6	PS4	Sega	Ryū ga Gotoku Studio	m	action / aventure	2017
1	YIIK: A Postmodern RPG	PS4, PS Vita, PC, Wii U	Ysbryd Games	Ackk Studios	m	RPG / surréaliste / combat	2017
1	Ys VIII: Lacrimosa of Dana	PS4, Vita, PC	Nihon Falcom	Nihon Falcom	m	RPG / aventure / action /rpg / narratif / Hack 'n' slash	2017
1	Ylands	PC	Bohemia Interactive	Bohemia Interactive	multi	survie / monde ouvert / aventure / construction / 3e personne / action / exploration / 1ère personne	2017
1	Yoshi Switch	Switch	Nintendo	Good-Feel	other	plates-formes	2017
1	Adventure Time: Pirates of the Enchiridion	Nintendo Switch, PS4, Xbox One, PC	Outright Games	Climax Studios	multi	aventure / cartoon	2018
1	Afterparty	Xbox One, PC, PS4	Night School Studio	Night School Studio	multi	aventure	2018
1	Assassin's Creed Odyssey 	PC, Xbox One, PS4	Ubisoft	Ubisoft	multi	Action / aventure / Infiltration / RPG / Historique	2018
1	Assetto Corsa Competizione 	PC	505 Games	Kunos Simulazioni	other	Racing simulation	2018
1	Astro Bot	PS4 VR	SIE Japan Studio	Sony Interactive Entertainment	other	Action / Plateforme	2018
1	The Awesome Adventures of Captain Spirit	PS4, Xbox One, PC	Square Enix	DONTNOD Entertainment	m	aventure	2018
1	Battlefield V	PS4, Xbox One, PC	Electronic Arts	DICE	multi	FPS	2018
1	Battletoads	Xbox One, PC	Microsoft	DLaLa Studios	other	Action	2018
1	Beyond Good and Evil 2	TBA	Ubisoft	Ubisoft	multi	Action / Aventure	2018
1	Beat Saber 	PC, PS4 VR	Hyperbolic Magnetism	Hyperbolic Magnetism	other		2018
1	Blood and Truth 	PS4 VR	Sony Interactive Entertainment	SIE London Studio	m	Tir	2018
1	Bomber Crew	PC, Xbox One, PS4, Switch	Curve Digital	Runner Duck	multi	simulation / stratégie	2018
1	Call of Duty: Black Ops 4 	PC, PS4, Xbox One	Activision	Treyarch	multi	Tir	2018
1	Children of Morta	PS4, Xbox One, PC	11 bit studios	 Dead Mage	multi	action / aventure / rpg	2018
1	Command and Conquer: Rivals	Android, IOS	Electronic Arts	EA Redwood Studios	multi	stratégie / rts	2018
1	Control	PS4, Xbox One, PC	505 Games	Remedy Entertainment	f	action / aventure / troisième personne / TPS / science-fiction / supernaturel	2018
1	Creed: Rise to Glory 	PS4 VR	Survios	Survios	m	action / fitness / sport	2018
1	Cyberpunk 2077	PC, Xbox One, PS4	CD Projekt	CD Project Red	multi	Action-RPG	2018
1	Daemon X Machina	Nintendo Switch	Nintendo	Marvelous Inc.	multi	Action	2018
1	Dead or Alive 6	PS4, Xbox One, PC	Koei	Team Ninja	multi	combat	2018
1	Dead Cells	PC, Xbox One, PS4, Switch	Motion-Twin	Motion-Twin	m	action / aventure / plate-formes / Rogue-like /Metroidvania	2018
1	Defender's Quest: Valley of the Forgotten DX	Nintendo Switch	Level Up Labs	Level Up Labs	multi	RPG / Stratégie / Tactique	2018
1	Devil May Cry 5	PS4, Xbox One	Capcom	Capcom	m	Action / Beat'em All / Plate-Forme	2018
1	Déraciné	PS4 VR	FromSoftware	Sony Computer Entertainment	other	Aventure / poétique / solitude	2018
1	Divinity: Original Sin 2 	PC, PS4, Xbox One	Bandai Namco Games	Larian Studios	multi	RPG / Tour par tour / Coopération / Fantasy / Monde ouvert / Aventure / stratégie / tactique 	2018
1	Dreams	PS4	Media Molecule	Sony Interactive Entertainment	multi	sandbox	2018
1	Tom Clancy's The Division 2 	PC, PS4, Xbox One	Ubisoft	Massive Entertainment, Ubisoft Reflections, PLUS	multi	action / rpg / fps / mmo / post-apocalyptique	2018
1	Dragon Quest XI 	PS4, Switch, PC	Square Enix	Square Enix, Toylogic, ORCA	multi	rpg/ combat / tour par tour / fantasy / narratif / aventure / action /horreur	2018
1	Fallout 76	PS4, Xbox One, PC	Bethesda	Bethesda	multi	RPG / survie	2018
1	Farming Simulator 19 	Xbox One, PC, PS4	Focus Home Interactive	GIANTS Software	multi	Simulation	2018
1	Fate Extella Link 	PS4, PC, Switch	Marvelous’ First Studio	Marvelous	multi	action	2018
1	Fear the Wolves	PC, Xbox One, PS4	Focus Home Interactive	Vostok Games	multi	FPS / battle royale / post-apocalyptique / survie	2018
1	FIFA 19 	Xbox One, PS4, PC, Nintendo Switch	Electronic Arts	Electronic Arts	multi	sport	2018
1	Fire Emblem: Three Houses	Nintendo Switch	Nintendo	Nintendo / Intelligent Systems	multi	Jeu de rôle tactique tour par tour	2018
1	Firewall Zero Hour	PS4 VR	Sony Interactive Entertainment	First Contact Entertainment Inc.	multi	Jeu de tir à la première personne	2018
1	Forza Horizon 4	Xbox One, PC	Microsoft Studios	Playground Games	multi	sport / course / automobile	2018
1	Fringe Wars	PS4, Xbox One, PC	Oasis Games	OASIS GAMES / Thinking Stars	other	Massivement multijoueur / Action / Science-fiction / jeu de tir	2018
1	Gal Metal 	Nintendo Switch	DMM Games	DMM Games	m	Musique	2018
1	Galak-Z: Variant S 	Nintendo Switch	GungHo Online Entertainment	17-BIT	m	Shoot'em up / action / space / rpg / rogue-like	2018
1	Gears 5	Xbox One, PC	Microsoft Studios	The Coalition	f	jeu de tir à la troisième personne / action	2018
1	Generation Zero	Xbox One, PC, PS4	THQ Nordic	Avalanche Studios	multi	action / survie	2018
1	Ghost of Tsushima	PS4	Sony Interactive Entertainment	Sucker Punch Productions	m	action / aventure / infiltration	2018
1	Ghost Giant 	PS4 VR	Zoink	Zoink	other	aventure / Énigme / Famille / battle royale / puzzle	2018
1	The Golf Club 2019 	Xbox One, PS4, PC	HB Studios	HB Studios	multi	sport	2018
1	GreedFall 	PC, Xbox One, PS4	Focus Home Interactive	Spiders	multi	rpg / action / fantastique	2018
1	Gungrave VR 	PS4 VR	Marvelous	Iggymob	m	Action / Beat'em All / tir / FPS et TPS 	2018
1	Harold Halibut	PC, PS4, Xbox One, Switch	Curve Digitql	Slow Bros.	m	narratif / puzzle / aventure / exploration	2018
1	Heavy Fire: Red Shadow	PS4, PSVR, Xbox One, PC	Mastiff	Mastiff	m	tir / première personne / fps / action / militaire / arcade / on rails	2018
1	Hitman 2	PS4, Xbox One, PC	Warner Bros. Interactive	Io Interactive	m	infiltration /action	2018
1	Home Sweet Home	PC, Xbox One, PS4	Yggdrazil Group	Yggdrazil Group	m	horreur / à la première personne	2018
1	Insurgency: Sandstorm 	Xbox One, PS4, PC	Focus Home Interactive	New World Interactive	multi	tir / FPS	2018
1	Islands of Nyne: Battle Royale	Xbox One, PC, PS4	Define Human Studios	Define Human Studios	m	fps / tir / science-fiction / action / battle royale / survie	2018
1	Just Cause 4	PS4, Xbox One, PC	Square Enix	Avalanche Studios	m	action / aventure /  GTA-like	2018
1	Just Dance 2019	PS4, Xbox One, Switch	Ubisoft	Ubisoft	multi	musique / danse	2018
1	Jump Force 	PS4, Xbox One, PC	Bandai Namco Entertainment	Spike Chunsoft	multi	combat	2018
1	Killer Queen Black 	Nintendo Switch	Liquid Bit	Liquid Bit	other	jeu de plateforme / stratégie / action	2018
1	Kingdom: Two Crowns	Switch, Xbox One, PC	 Raw Fury	Noio, Coatsink	multi	stratégie / aventure / gestion	2018
1	The Last of Us Part II	PS4	Sony Computer Entertainment	Naughty Dog	f	action / aventure / à la troisième personne	2018
1	LEGO DC Supervillains	PC, Xbox One, PS4, Switch	WB Games	Traveller's Tales	multi	action / aventure	2018
1	Little Dragons Cafe	Nintendo Switch, PS4	Rising Star Games	Aksys Games	multi	aventure / rpg / simulation	2018
1	Madden NFL 19	PS4, Xbox One, PC	EA Sports	EA Sports	m	sport	2018
1	Maneater	PC	Tripwire Interactive	Blindside Interactive	other	RPG / action / aventure / sous-marin / monde ouvert / gore	2018
1	Mario Tennis Aces 	Nintendo Switch	Nintendo	Camelot Software Planning	multi	sport	2018
1	Mega Man 11 	Nintendo Switch, PC, Xbox One, PS4	Capcom	Capcom	m	action / plate-forme	2018
1	Megalith 	PS4 VR	Disruptive Games	Disruptive Games	multi	fps /shooter / action	2018
1	Mutant Year Zero: Road to Eden 	PC, Xbox One, PS4	Funcom	The Bearded Ladies Consulting	other	tactique / rpg / tour par tour	2018
1	My Friend Pedro	PC, Switch	Devolver Digital	DeadToast	m	action / shoot 'em up  / ActionBeat'em all	2018
1	My Hero Ones Justice 	PC, PS4, Xbox One, Switch	Byking	Bandai Namco Entertainment	multi	combat / superhéros / mangas	2018
1	Naruto to Boruto: Shinobi Strikers	PS4, PC, Xbox One	BANDAI NAMCO Entertainment.	Soleil Ltd.	multi	fight / 	2018
1	NBA Live 19	PC, Xbox One, PS4, Switch	EA Sports	EA Sports	multi	Sport	2018
1	Nioh 2	PS4, Xbox One, PC	Koei Tecmo Holdings	Team Ninja	multi	action / rpg	2018
1	Ninjala 	Switch	GungHo Online Entertainment	GungHo Online Entertainment	multi	action / battle royale	2018
1	Necromunda: Underhive Wars	PC, PS4, Xbox One	Rogue Factor	Focus Home Interactive	multi	rpg / tactique / tour par tour	2018
1	Octopath Traveler	Nintendo Switch	Nintendo	Square Enix, Acquire	multi	rpg / J-RPG / aventure	2018
1	Outer Wilds 	Xbox One, PC	Annapurna Interactive	Mobius Digital	other	exploration / espace /  extra-terrestre / science-fiction / aventure / action	2018
1	Overcooked 2 	Switch, TBA	Team17	Team17, Ghost Town Games	multi	simulation / cuisine	2018
1	Overkill's The Walking Dead 	Xbox One, PC, PS4	Starbreeze Studios, 505 Games	Overkill Software	multi	FPS / horreur / survie	2018
1	Persona 3: Dancing in Moonlight 	PS4, PS Vita	Sega	Atlus	multi	musique / rythme / danse	2018
1	Persona 5: Dancing in Starlight 	PS4, PS Vita	Sega	Atlus	multi	musique / rythme / danse	2018
1	Planet Alpha	PC, PS4, Xbox One, Switch	Team17	Planet Alpha ApS	m	plates-formes / réflexion / extra-terrestres	2018
1	Paladins: Realm Royale 	PC, PS4, Switch	Hi-Rez Studios	Heroic Leap Games	multi	fantasy / battle royale / fps / survie / coopération / pvp / monde ouvert	2018
1	The Quiet Man	PC, PS4	Square Enix	Square Enix, Human Head Studios	m	action / aventure	2018
1	Rainbow Six Siege 	PC, PS4, Xbox One	Ubisoft	Ubisoft Montréal, Ubisoft Toronto	multi	tir / tactique	2018
1	Rage 2	PS4, Xbox One, PC	Bethesda Softworks	Avalanche Studios, id Software	m	FPS  / monde ouvert / post-apocalyptique / futur / tir	2018
1	Raji: An Ancient Epic	PS4, Xbox One, PC, Switch	Nodding Heads Games	Nodding Heads Games	f	Action / aventure	2018
1	Rapture Rejects	PC	tinyBuild	Galvanic Games, Explosm Games	multi	battle royale / funny 	2018
1	Rend	PC	Frostkeep Studios	Frostkeep Studios	multi	Survie / Monde ouvert / Aventure / Fabrication	2018
1	Roller Coaster Tycoon Switch	Nintendo Switch	Atari	Nvizzio Creations	other	gestion / simulation	2018
1	Sable	PC, Xbox One	Raw Fury	Shedworks	f	aventure / exploration	2018
1	Sea of Solitude	TBA	Electronic Arts	Jo-Mei Games	f	aventure / exploration	2018
1	Sekiro: Shadows Die Twice	PS4, Xbox One, PC	Activision	FromSoftware	m	action / aventure / rpg	2018
1	Serious Sam 4: Planet Badass	PC	Devolver Digital	Croteam	m	survie / monde ouvert / aventure / tir / fps / coopération / gore	2018
1	Session	Xbox One, PC	Crea-ture Studios	Crea-ture Studios	m	sport / skate	2018
1	SCUM	PC	Devolver Digital	 Gamepires, Croteam	multi	survie / monde ouvert / zombies / action / aventure / fps / troisieme personne / gore / rpg	2018
1	Shadow of the Tomb Raider 	PC, PS4, Xbox One	Square Enix	Crystal Dynamics, Eidos Montréal	f	action / aventure / troisieme personne / monde ouvert / survie / tir / exploration	2018
1	The Sinking City 	PS4, Xbox One, PC	Bigben Interactive	Frogwares	m	action / investigation / Gore / Lovecraftian / Detective / Thriller / monde ouvert / horreur	2018
1	Soulcalibur VI	PS4, Xbox One, PC	Bandai Namco	Bandai Namco	multi	Action / Combat / fantastique	2018
1	Space Hulk Tactics 	PC, Xbox One, PS4	Focus Home Interactive	Cyanide Studio	m	stratégie / tour par tour / tactique	2018
1	Spintires: MudRunner 	Xbox One, PS4, PC, Nintendo Switch	Focus Home Interactive	Saber Interactive	m	course	2018
1	Spyro Reignited Trilogy 	PS4, Xbox One	Activision Blizzard	Toys for Bob	other	plates-formes	2018
1	State of Mind	PS4, Xbox One, PC, Nintendo Switch	Daedalic Entertainment	Daedalic Entertainment	m	aventure / narratif / science-fiction / futur	2018
1	Street Fighter V: Arcade Edition 	PS4, PC	Capcom	Capcom	multi	combat / arcade / action	2018
1	Super Smash Bros. Ultimate	Nintendo Switch	Nintendo	Sora Ltd., Bandai Namco	multi	combat / plates-formes	2018
1	Super Mario Party	Nintendo Switch	Nintendo	Nd Cube	multi	fête / coopératif	2018
1	Super Meat Boy Forever	Nintendo Switch, Xbox One, PC, PS4	Team Meat	Team Meat	multi	Action / plates-formes / violent / Hack and Slash / guerre	2018
1	The Surge 2 	Xbox One, PS4, PC	Focus Home Interactive	Deck13 Interactive	multi	action / rpg / futuriste / science-fiction	2018
1	Team Sonic Racing 	Xbox One, PS4, Nintendo Switch, PC	Sega	Sumo Digital	other	course / kart / coopératif / action	2018
1	Tetris Effect 	PS4, PSVR	Enhance Games	Monstars, Resonair	other	puzzle	2018
1	Total War: Three Kingdoms	PC	Sega	Creative Assembly	multi	stratégie / tactique / tour par tour / histoire / guerre / action / fantasy	2018
1	Trials Rising	PS4, Xbox One, Switch, PC	Ubisoft	RedLynx	multi	sport / course / moto	2018
1	Trover Saves the Universe	PS4 VR	Squanch Games	Squanch Games	m	action / aventure / plate-formes	2018
1	Twin Mirror	PC, PS4, Xbox One	Bandai Namco Entertainment	Dontnod Entertainment	m	aventure / narratif / violence / guerre	2018
1	Unravel 2	PS4, Xbox One, and PC	Electronic Arts	ColdWood Interactive	other	plates-formes / aventure / co-op / enigme	2018
1	Vacation Simulator 	PS4 VR	Owlchemy Labs	Owlchemy Labs	multi	action / aventure / simulation	2018
1	Valkyria Chronicles 4 	Nintendo Switch, PS4, Xbox One, PC	Sega	Sega CS3	multi	action / stratégie / tour par tour / aventure / rpg	2018
1	V-Rally 4 	Nintendo Switch, PS4, Xbox One, PC	Bigben Interactive	Kylotonn	other	sport / course / simulation	2018
1	Warhammer 2: Vermintide	PS4, Xbox One, PC	Fatshark	Fatshark	multi	action / première personne / gore / fantasy / RPG / Survie / FPS /Aventure	2018
1	Wolfenstein: Cyber Pilot	VR	Bethesda Softworks	Bethesda Softworks	other	tir à la première personne / action / aventure	2018
1	Wolfenstein: Youngblood	PC, Xbox One, PS4	MachineGames	Activision	f	Action / narratif / Beat them all / monde ouvert / rpg / aventure / humour / comédie / 3e personne	2018
