to_keep	game	platforms	editor	developer	gender	Source explication	Source nom	Source lien	Autre source	Autre source	type	Multijoueur	Date de sortie	Annoncé en
1	Loot Rascals†	PC, PS4	Hollow Ponds	Hollow Ponds	Multi (choix)	Le joueur décide s'il joue une fille ou un garçon.	Graal	http://www.graal.fr/2017/03/21/test-loot-rascals-la-version-pour-steam/	https://culturellementvotre.fr/2017/03/30/test-playstation-4-loot-rascals-un-roguelite-qui-a-sa-carte-a-jouer/	https://killscreen.com/articles/release-inner-hoarder-roguelike-loot-rascals/	RPG / Aventure / Rogue-like / cartes /  stratégie / rogue-lite	no	07/03/2017	
1	Madden NFL 17 †*	PS4, Xbox One	Electronic Arts	Electronic Arts	M	Cet opus est centré sur Rob Gronkowski des Patriots et ne propose pas d'incarner une femme.	jeuxvideo.com	http://www.jeuxvideo.com/jeux/one/jeu-457272/	https://www.youtube.com/watch?v=-tJYZvGsqKc	https://www.usgamer.net/articles/madden-18-finally-gives-women-a-place-in-eas-football-sim	sport / simulation / football américain	yes	23/08/2016	
1	Mafia 3	PC, Xbox One, PS4	2K Games	Hangar 13	M	Le joueur incarne un vétéran de la guerre du Vietnam.	jeuxvideo.com	http://www.jeuxvideo.com/jeux/playstation-4-ps4/00052020-mafia-iii.htm	http://www.gameblog.fr/tests/2566-mafia-iii-ps4	https://www.jeuxactu.com/test-mafia-3-sur-ps4-et-xbox-one-106186.htm	Crime / monde ouvert / action / narratif / 3e personne / tir / ave,tire / infiltration / fps	no	07/10/2016	2015 (Gamescome)
0 (2015, relativity)	Manifold Garden†	PS4, PC	William Chyr Studio	William Chyr Studio				https://www.youtube.com/watch?v=jqBvOdUrB-M						
1	Masquerada: Songs and Shadows	PC	Ysbryd Games	Witching Hour Studios	M	Les joueurs incarnent un révolutionnaire nommé Cyrus.	Masquerada	http://www.masquerada.com/	https://www.actugaming.net/masquerada-songs-and-shadows-ensorcelant-malgre-quelques-fausses-notes-106994/	https://store.steampowered.com/app/459090/Masquerada_Songs_and_Shadows/	RPG / narratif / tactique / drame	no	30/09/2016	
0 (2015)	Mass Effect Andromeda	Xbox One, PS4, PC												
1	Monster Hunter Generations	3DS	Capcom	Capcom	Multi (choix + personnalisation)	On peut choisir le genre de son personnage et le personnaliser.	Nintendo	https://www.nintendo.fr/Jeux/Nintendo-3DS/Monster-Hunter-Generations-1090846.html	https://guides.gamepressure.com/monsterhuntergenerations/guide.asp?ID=36978	https://www.youtube.com/watch?v=ZRO7Bam1L-g	tactique / rpg / tour par tour / aventure / action	no	28/11/2015 (Japon)	
0 (2015)	Mother Russia Bleeds†	PS4, PC	Devolver Digital	Le Cartel Studio	Multi (choix)	Quatre personnages sont disponibles, dont une femme.	jeuxvideo.com	http://www.jeuxvideo.com/test/532998/mother-russia-bleeds-le-beat-em-up-gonfle-aux-steroides.htm	https://www.jeuxactu.com/test-mother-russia-bleeds-sur-pc-105785.htm	http://www.gameblog.fr/tests/2541-mother-russia-bleeds-pc	Beat them all / Gore / violence / action / coopération / rétro	yes	05/09/2016	
1	Moto Racer 4	Xbox One, PS4, PC	Microïds	Anuman Interactive	Multi (choix)	Des personnages masculins et féminins sont disponibles.	Jeux Actu	https://www.jeuxactu.com/test-moto-racer-4-sur-ps4-et-xbox-one-106631.htm	https://puregaming.es/analisis-motor-racer-4/	https://www.ageekdaddy.com/2017/01/moto-racer-4.html	course / moto	yes	13/10/2016	
1	Mount & Blade 2: Bannerlord	PC	Paradox Interactive	TaleWorlds	Multi (choix + personnalisation)	On peut choisir le genre de son personnage.	The Gameplay and Customization Depth of Mount & Blade II: Bannerlord (Youtube)	https://www.youtube.com/watch?v=WQR8aazcP80	https://www.youtube.com/watch?v=t4rC1awiovs	https://steamcommunity.com/app/261550/discussions/0/1697167168518718054/	rpg / action / combat	yes	unknown	
1	NHL 17†*	Xbox One, PS4	EA Sports	EA Canada	Multi (choix + personnalisation)	On peut choisir le genre de son personnage et le personnaliser.	NHL 17 beta: Male, female character customisation, equipment, goal cellys and more | Stevivor (Youtube)	https://www.youtube.com/watch?v=M2c0iMQ2QJ0	https://www.youtube.com/watch?v=8rtvUjIXg7o	https://www.ea.com/fr-fr/news/building-teams-from-scratch-in-nhl-17	sport / hockey	yes	13/09/2016	
0 (2014)	Night in the Woods†	PC, PS4	Finji	Infinite Fall						https://store.steampowered.com/app/481510/Night_in_the_Woods/	narratif / aventure / exploration / humour / plateformes / horreur	no	21/02/2017	
1	Nioh	PS4	 Koei Tecmo	Team Ninja	M	Le joueur incarne un samourai.	jeuxvideo.com	http://www.jeuxvideo.com/jeux/jeu-63789/#details	http://www.gameblog.fr/tests/2678-nioh-ps4	https://gamergen.com/tests/nioh-team-ninja-koei-tecmo-test-review-verdict-notes-280125-1	action / rpg / heroic-fantasy	yes	07/02/2017	
0 (2014)	Persona 5	PS4, PS3	Atlus	Atlus										
1	Quake Champions 	PC	Bethesda Softworks	id Software, Saber Interactive	Multi (choix + personnalisation)	Plusieurs personnages de genres différents sont disponibles.	PC Games	https://www.pcgamesn.com/quake-champions/quake-champions-characters-abilities	https://kentuckynerd.com/whats-the-best-champion-in-quake-champions/	http://n4g.com/news/2029647/quake-champions-female-character-nyx-highlighted-in-new-trailer	FPS / Tir /  Gore / Action / Science-fiction / Horreur / Lovecraftien	yes	22/08/2017	2016 (E3)
1	Prey	PC, Xbox One, PS4	Bethesda Softworks	Arkane Studios	Multi (choix)	Le joueur incarne un héros ou une héroine.	Bethesda	https://prey.bethesda.net/fr/	http://www.jeuxvideo.com/test/655506/prey-une-tres-belle-aventure-spatiale-qui-frole-l-excellence.htm	https://www.actugaming.net/test-prey-aventure-science-fiction-dune-grande-richesse-94848/	action /fps / extra-terrestre / futur	no	05/05/2017	2016 (E3)
1	Psychonauts in the Rhombus of Ruin†	PSVR	Double Fine Productions	Double Fine Productions, React Games	M	Le joueur incarne Raz	VR Player	https://www.vrplayer.fr/fiche/psychonauts-in-the-rhombus-of-ruin/	http://cooldown.fr/news/psychonauts-rhombus-ruin-vr-fevrier/	https://www.youtube.com/watch?v=fmtpoLr2Zrg	aventure	no	19/04/2018	
1	Pokemon Sun and Moon	3DS	Nintendo	Game Freak	Multi (choix)	Le joueur incarne un dresseur ou une dresseuse.	Jeuxvideo.com	http://www.jeuxvideo.com/preview/546802/pokemon-soleil-lune-on-a-joue-aux-deux-premieres-heures.htm	https://www.eclypsia.com/fr/pokemon-sun-moon/actualites/test-des-versions-soleil-et-lune-de-pokemon-sur-nintendo-3ds-10961	http://www.jeuxvideo.com/test/747335/pokemon-ultra-soleil-et-ultra-lune-un-episode-solide-mais-chiche-en-nouveautes.htm	rpg	yes	18/11/2016	
0 (2015, missing)	Rain World†	PS4, PC							https://www.youtube.com/watch?v=d3XB8N5W_FM	https://www.indiemag.fr/news/rain-world-chatlimace-se-montre-le3				
1	Raw Data	PC - HTC Vive	Survios	Survios	Multi (choix)	Quatre personnages sont disponibles, dont un seul féminin.	Survios	https://survios.com/rawdata/heroes/saija/	https://www.youtube.com/watch?v=mQnfQAbF_bI	https://www.realite-virtuelle.com/test-raw-data	Action / fps / coopération / Stratégie / robots / Horreur / Science-fiction / Futur / survie / tir	yes	14/07/2016	
0 (2015)	ReCore	Xbox One, PC	ReCore E3 2016 Gameplay Trailer	Pre-Order										
1	Resident Evil 7	PlayStation 4, Xbox One et Windows	Capcom	Capcom	M	Le joueur incarne Ethan Winters.	Gameblog	http://www.gameblog.fr/tests/2671-resident-evil-7-biohazard-xb1-pc-ps4	https://www.jeuxactu.com/test-resident-evil-7-sur-ps4-107703.htm	http://www.jeuxvideo.com/test/595865/resident-evil-7-le-retour-aux-sources-tant-attendu.htm	action / survie / horreur	no	24/01/2017	
0 (version remastérisée)	Rez Infinite†	PSVR	Monstars	Enhance Games				https://store.playstation.com/fr-fr/product/EP0748-CUSA06338_00-REZINFINITE00001	https://www.playstation.com/en-us/games/rez-infinite-ps4/		Shoot'em Up /Tir / Rythme / action / science-fiction	no	13/10/2016	
1	River City: Tokyo Rumble†	3DS	Arc System Works	Arc System Works	M (principal)	Le jeu est centré sur Kunio, un personnage masculin.	Nintendo	https://www.nintendo.fr/Jeux/Jeux-a-telecharger-sur-Nintendo-3DS/River-City-Tokyo-Rumble-1141801.html	https://www.youtube.com/watch?v=wjdNrNlDKJc	http://mag.mo5.com/actu/103778/test-river-city-tokyo-rumble/	Beat them all	yes	01/09/2016 (en Europe)	
0 (2014, missing)	Scalebound	Xbox One	Scalebound E3 2016 Co-op Demo	PlatinumGames	M	Le développement du jeu a été annulé	Jeuxvideo.com	http://www.jeuxvideo.com/jeux/xbox-one/00053026-scalebound.htm	http://www.jeuxvideo.com/preview/438000/scalebound-dragons-et-humains-main-dans-la-main-gamescom.htm					
0 (2015)	Sea of Thieves	Xbox One, W10	Sea of Thieves E3 2016 Gameplay Trailer	Pre-Order										
1	Shadow Warrior 2†	PC, PS4, Xbox One	Devolver Digital	Flying Wild Hog	M	Le joueur incarne le guerrier Lo Wang.	Jeuxvideo.com	http://www.jeuxvideo.com/jeux/pc/jeu-428717/#details	http://www.gameblog.fr/tests/2576-shadow-warrior-2-pc	https://store.steampowered.com/app/324800/Shadow_Warrior_2/	Action / fps / ninja / combat / tir / Hack 'n' slash / comédie / 1re personne / monde ouvert / aventure / science-fiction 	yes	13/10/2016	
1	Shantae: Half-Genie Hero	PS4, PS Vita, Switch, Xbox One, PC	WayForward Technologies	Inticreates	F	Le joueur incarne une héroine.	Jeuxvideo.com	http://www.jeuxvideo.com/test/589834/shantae-half-genie-hero-une-vraie-bouffee-d-air-frais.htm	https://www.gamekult.com/jeux/shantae-half-genie-hero-3050179980.html	http://www.gameblog.fr/tests/2662-shantae-half-genie-hero-ps4-xb1-pc-psv-wiiu	plateformes / action / aventure / humour / fantasy / comédie	no	30/09/2016	
0 (nouveau support)	Shiren the Wanderer: The Tower of Fortune and the Dice of Fate	PS Vita								https://www.youtube.com/watch?v=b2qUt9Z4ehA	rpg / rogue-like 	yes	26/06/2016	
1	Skylanders Imaginators	Xbox One, PS4	Activision	Toys for Bob	Multi (personnalisation)	Le joueur peut créer et personnaliser son propre Skylander. On peut les genrer ou non.	Skylanders	https://www.skylanders.com/fr/characters?q=imaginators/new	https://www.jeuxactu.com/test-skylanders-imaginators-sur-ps4-106450.htm	http://www.jeuxvideo.com/jeux/ps4/jeu-495216/#details	action / plateforme	yes	13/10/2016	
1	Slime Rancher	Xbox One, PC	Monomi Park	Monomi Park	F	Le joueur incarne une éleveuse.	Epic Games	https://www.epicgames.com/store/fr/product/slime-rancher/home	http://slimerancher.com/	https://store.steampowered.com/app/433340/Slime_Rancher/	exploration / aventure / 1re personne / monde ouvert / humour / fantasy / simulation / gestion / action / fps	no	01/08/2017	
1	Sonic Boom: Fire and Ice	3DS	Sega	Sanzaru Games	n/A	Personnages non-humains, mais genrés (féminins et masculins)	Polygon	https://www.polygon.com/2015/6/9/8752721/sonic-boom-fire-and-ice-sega-nintendo-3ds	https://www.dualshockers.com/sonic-boom-fire-ice-gets-a-new-trailer-for-e3/	https://www.youtube.com/watch?v=OqaClCziuWk	plateformes / action / aventures	yes	27/09/2016	
0 (2015)	South Park: The Fractured But Whole	PS4, Xbox One, PC	Ubisoft	Ubisoft San Francisco	Multi (choix + personnalisation)	On peut choisir un personnage masculin ou féminin et le personnaliser.	South Park The Fractured But Whole - Character Creation & Customization (Youtube)	https://www.youtube.com/watch?v=82Y4d3_To1M	https://www.kotaku.com.au/2017/09/how-south-park-the-fractured-but-whole-retcons-gender/	https://www.youtube.com/watch?v=CNA87NHRxmA	RPG / comédie / humour / aventure / monde ouvert / action / monde ouvert / narratif	no	17/10/2017	
1	Spider-Man †	PS4	Sony Interactive Entertainment	Insomniac Games	M (principal)	Le personnage principal est masculin, même si on peut aussi incarner à un moment un personnage féminin.	Gamekult	https://www.gamekult.com/jeux/spider-man-ps4-3050715199/test.html	https://www.eclypsia.com/fr/spider-man/actualites/spider-man-les-ennemis-la-taille-de-la-map-et-les-personnages-jouables-25978	https://www.jeuxvideo-live.com/news/spider-man-passe-ea-laction-pour-le3-2018-89792	action / aventure	no	07/09/2018	
0 (2015, missing)	Star Ocean: Integrity and Faithlessness† [1]	PS4, PS3	Square Enix	tri-Ace				https://www.youtube.com/watch?v=wgc2OSZL8e4	https://square-enix-games.com/en_GB/news/e3-2015-star-ocean-integrity-and-faithlessness					
1	Star Trek: Bridge Crew	Oculus Rift, HTC Vive	Ubisoft	Red Storm Entertainment	Multi (choix + personnalisation)	On peut choisir un personnage masculin ou féminin et le personnaliser.	Star Trek Bridge Crew - First Look Part 1 & Avatar Creator (Youtube)	https://www.youtube.com/watch?v=Q2Oyn8F_Nx0	https://www.ubisoft.com/fr-ca/game/star-trek-bridge-crew/	http://www.jeuxvideo.com/test/667172/star-trek-bridge-crew-la-bonne-idee-mal-realisee.htm	simulation / rpg / espace	yes	30/05/2017	
1	Star Wars Battlefront II †	PS4, Xbox One, PC	Electronic Arts	Dice	Multi (choix)	Plusieurs personnages de différents genres sont jouables.	Comic Book	https://comicbook.com/gaming/2017/10/22/star-wars-battlefront-ii-female-protagonist-iden-versio/	https://www.gamespot.com/articles/hidden-star-wars-battlefront-2-character-customiza/1100-6455268/	http://www.jeuxvideo.com/test/744851/star-wars-battlefront-ii-un-bon-jeu-gache-par-des-micro-transactions.htm	fps / science-fiction / espace	yes	17/11/2018	
1	Star Wars: Jedi Fallen Order	Ordinateur personnel, Microsoft Windows, Xbox One, PlayStation 4	Electronic Arts	Respawn Entertainment	M	 Le joueur incarne un jeune Padawan.	IGN	https://fr.ign.com/star-wars-jedi-fallen-order-ps4/45413/news/star-wars-jedi-fallen-order-sera-devoile-a-la-star-wars-cele	https://gaming.gentside.com/star-wars/star-wars-jedi-fallen-order-pc-ps4-xbox-one-date-de-sortie-trailers-news-et-gameplay-du-nouveau-jeu-star-wars_art25717.html	http://www.jeuxvideo.com/jeux/jeu-858987/#details	action / aventure / tir / troisième personne	no	15/11/2019	
0 (2013)	Star Wars (Visceral)	TBA												
0 (DLC)	Star Wars Battlefront X-Wing VR Mission	PS4VR			Multi (choix)	Le joueur peut choisir le genre du pilote qu'il incarne.	jeuxvideo.com	http://www.jeuxvideo.com/preview/577333/star-wars-battlefront-x-wing-vr-mission-une-experience-qui-s-est-grandement-amelioree.htm	https://sirusgaming.com/2016/12/star-wars-battlefront-rogue-one-x-wing-vr-missions-is-spectacular/	https://battlefront.fandom.com/wiki/X-Wing_VR_Mission	espace 		06/12/2016	
1	State of Decay 2	Xbox One, PC	Microsoft Studios	Undead Labs	Multi (choix + personnalisation)	On peut choisir un personnage masculin ou féminin et le personnaliser.	Polygon	https://www.polygon.com/2018/5/17/17361124/state-of-decay-2-review-xbox-one-pc	https://twitter.com/stateofdecay/status/971828022104899584?lang=fr	https://www.youtube.com/watch?v=PZozWmbCSbQ	tps / action / post-apocalyptique / zombies	yes	22/05/2018	
1	Statik	PSVR	Tarsier Studios	Tarsier Studios	gender-ambiguous	On incarne un personnage inconnu en VR.	Statik - Release Trailer | PS VR (Youtube)	https://www.youtube.com/watch?v=i7MVb_rv5sQ	https://www.youtube.com/watch?v=xFVdjg8lXtI	http://www.jeuxvideo.com/jeux/ps4/jeu-637468/#details	réflexion / puzzle	no	24/04/2017	
1	Steep	Xbox One, PC, PS4	Ubisoft	Ubisoft	Multi (choix + personnalisation)	On incarne un sportif ou une sportive qu'on personnalise, parmi un choix de personnages existants.	STEEP Early Access - Character (Riders) Customization (Youtube)	https://www.youtube.com/watch?v=70WJ7wry6Xg	https://www.youtube.com/watch?v=VQOCspUpnq8	https://www.youtube.com/watch?v=YGOu-raM25k	sport / montagne	yes	02/12/2016	
1	Story of Seasons: Trio of Towns	3DS	Marvelous	Marvelous	Multi (choix)	Le joueur choisit s'il veut être un fermier ou une fermière.	jeuxvideo.com	http://www.jeuxvideo.com/test/725867/story-of-seasons-trio-of-towns-une-suite-sans-surprises-majeures.htm	https://www.nintendo.fr/Jeux/Nintendo-3DS/Story-of-Seasons-Trio-of-Towns-1248829.html#Vue_d_ensemble	http://gamingway.fr/test-story-of-seasons-trio-of-towns-3ds/	simulation / rpg	yes	23/06/2016 (Japon)	
1	Styx: Shards of Darkness	PC, PS4, Xbox One	Focus Home Interactive	Cyanide Studio	M	Le joueur incarne un gobelin.	jeuxvideo.com	http://www.jeuxvideo.com/jeux/jeu-446204/#details	https://www.warlegend.net/test-styx-shards-of-darkness-petit-mais-costaud/	https://www.actugaming.net/test-styx-shards-of-darkness-retour-convaincant-de-gobelin-83542/	action / infiltration / heroic fantasy /  aventure / 3e personne / monde ouvert / comédie / rpg	yes	14/03/2017	
1	Super Hypercube†	PSVR	Polytron	Kokoromi	n/a	jeu de puzzle	ARS technica	https://arstechnica.com/gaming/2015/06/at-e3-sony-shows-what-project-morpheus-actual-vr-games-will-look-like/	http://superhypercube.com/presskit/	https://store.steampowered.com/app/554870/SUPERHYPERCUBE/	casse-tête / puzzle	no	13/10/2016	développement depuis 2008
1	Syberia 3	PS4, Xbox One, PC	Anuman Interactive	Koalabs	F	Le joueur incarne Kate.	jeuxvideo.com	http://www.jeuxvideo.com/jeux/pc/00030256-syberia-3.htm#details	https://www.jeuxactu.com/test-syberia-3-sur-ps4-xbox-one-et-pc-109099.htm	https://www.jeuxvideo-live.com/jeux-video/test-syberia-3-1339	aventure / Point'n Click	no	20/04/2017	
1	The Culling	Xbox One, PC	Xaviant	Xaviant	Multi (choix + personnalisation)	Le jeu est sorti avec beaucoup d'options de personnalisation, mais il n'était pas possible de jouer une femme avant sa première mise à jour.	Actu Gaming	https://www.actugaming.net/preview-the-culling-ne-rester-quun-19388/	https://www.youtube.com/watch?v=iryebsbbwr4	https://www.youtube.com/watch?v=v01f_aoB8FU	Survie / action / battle royale / 1ère personne / fps / monde ouvert / stratégie 	yes	04/03/2016	
0 (DLC)	The Division: Underground Expansion	Xbox One, PC, PS4							http://www.xboxygen.com/Medias/Videos/22998-The-Division-l-extension-Underground-est-disponible-voici-ce-qui-vous-attend	https://www.gamespot.com/reviews/the-division-underground-expansion-review/1900-6416463/				
1	The Turing Test†	Xbox One, PC	Square Enix	Bulkhead Interactive	F	Le joueur incarne une spatiaunaute	Gamekult	https://www.gamekult.com/jeux/the-turing-test-3050656283.html	https://store.steampowered.com/app/499520/The_Turing_Test/	http://www.jeuxvideo.com/jeux/pc/jeu-463173/#details	réflexion / aventure / puzzle / espace / narratif / science-fiction / horreur	no	30/08/2016	
1	Tekken 7	Xbox One, PS4, PC	Bandai Namco Games	Bandai Namco Games	Multi (choix + personnalisation)	Il est possible de sélectionner des personnages de chaque genre et de les personnaliser.	Tekken 7- Character Creation (Youtube)	https://www.youtube.com/watch?v=TP_z1IC-JHE	https://www.ign.com/wikis/tekken-7/Customization	http://www.jeuxvideo.com/jeux/jeu-74985/#details	Combat / action / arcade / narratif / beat them all / sport / 3e personne	yes	18/03/2015 (arcade, japon)	
1	The Walking Dead : A New Frontier	PC, Xbox One, PS4	Telltale Games	Telltale Games	M (principal)	Vous incarnez Javier.	Microsoft	https://www.microsoft.com/fr-fr/p/the-walking-dead-a-new-frontier-the-complete-season-episodes-1-5/bqr7qs0f8sj3?activetab=pivot:overviewtab	https://www.actugaming.net/test-the-walking-dead-a-new-frontier-vaut-cette-saison-3-globalite-97299/	https://mcetv.fr/mon-mag-culture/mon-mag-gamers-time/the-walking-dead-a-new-frontier-episode-3-2403/	aventure / Point'n Click / zombies / horreur	no	20/12/2016	
0 (2015)	Thumper†	PS4, PC	Drool	Drool	n/a	On incarne un scarabée.	Game blog	http://www.gameblog.fr/tests/2622-thumper-ps4	https://www.youtube.com/watch?v=eThoazvS8_0	https://store.steampowered.com/app/356400/Thumper/	Rythme / action / arcade / course / lovecraftien / fantasy / dark fantasy / horreur / aventure	no	10/10/2016	
1	Titanfall 2†*	PC, PS4, Xbox One	Electronic Arts	Respawn Entertainment	Multi (choix + personnalisation)	Il est possible de sélectionner des personnages de chaque genre.	TITANFALL 2 HOW TO GET FEMALE MALE PILOTS (Youtube)	https://www.youtube.com/watch?v=vJuSixxmdho	https://www.youtube.com/watch?v=1UwzKE_23DU	http://www.jeuxvideo.com/test/550137/titanfall-2-l-outsider-du-fps-qui-devint-un-tenor.htm	Science-Fiction / Robots / fps	yes	28/10/2016	
0 (2013)	Tokyo Mirage Sessions #FE	Wii U											26/12/2015 (Japon)	2013 (Nintendo Direct)
1	Touhou: Genso Wanderer	PS4	NIS America	Aqua Style	F	Le joueur contrôle Reimu, une prêtresse du Sanctuaire Hakurei.	Jeuxvideo.com	http://www.jeuxvideo.com/jeux/jeu-498882/#details	https://www.gamekult.com/jeux/touhou-genso-wanderer-3050710751.html	https://www.youtube.com/watch?v=rc6ds5W3dqc	rpg / aventure / Rogue-like	yes	24/03/2017	
0 (nouveau support)	Touhou: Scarlet Curiousity	PS4			F			https://www.actugaming.net/touhou-scarlet-curiosity-images-trailer-e3-2016-35609/	https://www.hardcoregamer.com/2016/06/21/e3-2016-touhou-scarlet-curiosity-is-a-most-unusual-touhou-game/213092/					
0 (2015)	Tom Clancy's Ghost Recon: Wildlands	Xbox One, PS4, PC	Ubisoft	Ubisoft				https://www.youtube.com/watch?v=WdJub3Kz2wI						
1	Trials of the Blood Dragon	Xbox One, PC, PS4	Ubisoft	Ubisoft	Multi	On incarne les enfants de Rex Colt, Roxanne et Slayter.	XBOXOXygen	http://www.xboxygen.com/Tests/Tests-Xbox-One/23043-Test-Trials-of-the-Blood-Dragon	https://store.steampowered.com/app/435480/Trials_of_the_Blood_Dragon/	https://www.actugaming.net/test-trials-of-the-blood-dragon-grand-frere-40971/	Plateformes / action / course / automobile	no	13/06/2016	
0 (extension)	Volume: Coda	PSVR							https://www.youtube.com/watch?v=NIRnla3QT2Y	http://www.jeuxvideo.com/jeux/ps4/jeu-498919/#details				
1	Valentino Rossi: The Game †	PC, PS4, Xbox One	Milestone	Milestone	Multi (choix + personnalisation)	Le joueur peut incarner un homme, ou une femme - mais il y a encore des défauts de personnalisation (joueur qui incarne une femme quand même interpellé avec pronom masculin-	Gamer Evolution	https://www.gamerevolution.com/review/70789-valentino-rossi-the-game-review#/slide/1	http://www.gameblog.fr/tests/2473-valentino-rossi-the-game-ps4	https://www.youtube.com/watch?v=C50pxNKjw6E	course / automobile / sport	yes	16/06/2016	
1	Warhammer 40,000: Inquisitor-Martyr	PC, PS4, Xbox One	NeocoreGames	NeocoreGames	Multi (choix + personnalisation)	"The Assassin, the only female option, has various states of high speed and stealth, depending upon which background the players choose."	PlayStation lifestyle	https://www.playstationlifestyle.net/2018/08/23/warhammer-40000-inquisitor-martyr-ps4-review/	http://www.graal.fr/2018/07/20/test-warhammer-40000-inquisitor-martyr-version-pour-steam/	https://www.youtube.com/watch?v=8ddKl6p9i9E	action / rpg  / hack’n’slash 	yes	05/06/2018	
1	Watch Dogs 2	PC, PS4, Xbox One	Ubisoft	Ubisoft	M	Le joueur incarne un jeune hacker.	Jeuxvideo.com	http://www.jeuxvideo.com/jeux/jeu-83207/#details	https://www.ubisoft.com/fr-ca/game/watch-dogs-2/	http://www.gameblog.fr/tests/2615-watch-dogs-2-ps4	infiltration / aventure / action	yes	15/11/2016	
0 (2015, missing)	Wayward Sky†	PSVR	Uber Entertainment	Uber Entertainment	F	Le joueur incarne une jeune pilote, Bess	Jeuxvideo.com	http://www.jeuxvideo.com/jeux/ps4/jeu-448607/	https://www.vrplayer.fr/playstation-vr-wayward-sky-test/	https://fr.ign.com/wayward-sky/19006/review/test-wayward-sky	aventure / point'n'click	no	10/10/2016	
1	We Happy Few	Xbox, PS4, PC	Gearbox Publishing	Compulsion Games	Multi (choix)	Parmi les trois personnages disponibles, un est féminin.	Site officiel de We Happy Few	http://www.wehappyfewgame.com/?lang=fr	http://www.jeuxvideo.com/test/898506/we-happy-few-l-aventure-stupefiante-qui-cache-sa-joie.htm	https://we-happy-few.fandom.com/wiki/Sally_Boyle	Survie / Monde ouvert / Horreur psychologique / Dystopique / 1re personne / Horreur / Aventure / Action / Infiltration / Exploration / Rogue-like	no	10/08/2018	2015
0 (remake)	Wild Guns Reloaded	PS4	Natsume Atari	Natsume			Jeuxvideo.com	http://www.jeuxvideo.com/jeux/switch/jeu-783743/				yes	13/12/2016 (Japon)	
1	Xing: The Land Beyond†	PC, PS4	White Lotus Interactive	White Lotus Interactive	gender-ambiguous	Le joueur incarne "une âme perdue"	Jeuxvideo.com	http://www.jeuxvideo.com/jeux/pc/jeu-451080/#details	https://www.vrplayer.fr/playstation-vr-xing-the-land-beyond-01/	https://www.playstation.com/fr-ca/games/xing-the-land-beyond-ps4/	aventure / réflexion / puzzle / 1ère personne	no	21/12/2017	
1	Yakuza 0†	PS4, PS3	Sega	Ryū ga Gotoku Studio	M	Le joueur incarne "Kazuma Kiryu, un membre de gang accusé d'un meurtre dont il est innocent. De son côté Gorô Majima, responsable d'un cabaret lucratif, est face à un dilemme : tuer quelqu'un et retrouver son rang au sein des yakuzas ou faire fructifier son commerce."	Jeuxvideo.com	http://www.jeuxvideo.com/jeux/playstation-4-ps4/00053983-yakuza-zero-the-place-of-oath.htm#details	https://grettogeek.com/test-pc-yakuza-0/	https://www.gamekult.com/jeux/yakuza-zero-3050325525.html	Action / narratif / Beat them all / monde ouvert / rpg / aventure / humour / comédie / 3e personne	yes	12/03/2015 (Japon)	2014 (fuite)
1	Yesterday Origins	PS4, Xbox One, PC	Microïds,	Pendulo Studios	Multi	Le joueur incarne John Yesterday et sa compagne Pauline. Comme il est essentiel de faire avancer les deux dans l'histoire, même si john est le personnage principal, ce jeu sera compatibilisé comme Multi.	Actugaming	https://www.actugaming.net/test-yesterday-origins-le-retour-de-loccultisme-facon-pointnclick-146431/	http://www.jeuxvideo.com/test/564203/yesterday-origins-le-grand-retour-de-pendulo-studios.htm	https://kickmygeek.com/test-jeu/android/yesterday-origins	Point'n Click / mystère / sombre / thriller / aventure	no	29/09/2016	
1	Yooka Laylee	Xbox One, PS4, Wii U, PC	Team 17	Playtonic Games	Multi	Le joueur incarne Yooka et Laylee, deux animaux mais qui sont genrés.	Game blog	http://www.gameblog.fr/tests/2732-yooka-laylee-ps4	http://www.jeuxvideo.com/jeux/jeu-424433/#details	https://www.youtube.com/watch?v=e1gxLvbX3Ow	action / plateformes / aventure / exploration / humour / rétro / monde ouvert / comédie	yes	11/04/2017	
1	Zero Time Dilemma	PS Vita, Nintendo 3DS, PC	Aksys Games	Spike Chunsoft	Multi (choix)	On joue des équipes de trois personnages avec un leader, différents genres possibles.	Sens critique	https://www.senscritique.com/jeuvideo/Zero_Time_Dilemma/critique/179230064	https://www.journaldugeek.com/test/test-zero-time-dilemma/2/	http://www.jeuxvideo.com/test/713223/zero-time-dilemma-une-conclusion-decevante.htm	Casse-tête / horreur / narratif / aventure / science-fiction / thriller / Pointer et cliquer	no	28/06/2016	
